Narančasta	Žuta	Zelena	Plava	Tirkizna	Indigo	Modra	Magenta	klasa
0.00	0.00	0.02	0.26	0.09	0.19	0.29	0.15	Modra
0.00	0.02	0.40	0.09	0.27	0.07	0.14	0.00	Zelena
0.00	0.00	0.00	0.17	0.03	0.03	0.09	0.69	Magenta
0.00	0.00	0.01	0.12	0.01	0.55	0.24	0.07	Indigo
0.36	0.61	0.02	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.01	0.24	0.15	0.27	0.11	0.21	0.02	Tirkizna
0.36	0.57	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.35	0.58	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.25	0.08	0.20	0.29	0.16	Modra
0.00	0.00	0.02	0.29	0.22	0.04	0.18	0.24	Plava
0.37	0.58	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.03	0.12	0.58	0.02	0.18	0.02	0.04	0.00	Zelena
0.00	0.00	0.02	0.28	0.12	0.13	0.27	0.18	Plava
0.53	0.46	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.53	0.45	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.07	0.22	0.14	0.21	0.30	0.05	Modra
0.00	0.00	0.00	0.10	0.00	0.08	0.08	0.73	Magenta
0.01	0.12	0.33	0.06	0.42	0.01	0.05	0.00	Tirkizna
0.05	0.30	0.37	0.02	0.24	0.00	0.02	0.00	Zelena
0.36	0.57	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.15	0.01	0.20	0.16	0.49	Magenta
0.00	0.02	0.51	0.06	0.17	0.11	0.13	0.00	Zelena
0.00	0.00	0.03	0.28	0.27	0.04	0.19	0.18	Plava
0.00	0.00	0.01	0.12	0.01	0.55	0.24	0.07	Indigo
0.00	0.04	0.24	0.12	0.45	0.02	0.11	0.01	Tirkizna
0.00	0.00	0.01	0.21	0.04	0.30	0.30	0.13	Indigo
0.37	0.58	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.03	0.13	0.58	0.02	0.18	0.02	0.04	0.00	Zelena
0.49	0.50	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.03	0.20	0.13	0.49	0.02	0.11	0.02	Tirkizna
0.00	0.00	0.03	0.27	0.11	0.17	0.29	0.14	Modra
0.35	0.58	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.11	0.02	0.56	0.26	0.03	Indigo
0.00	0.00	0.01	0.13	0.02	0.52	0.26	0.06	Indigo
0.00	0.04	0.29	0.10	0.43	0.03	0.10	0.01	Tirkizna
0.00	0.00	0.01	0.28	0.10	0.07	0.21	0.33	Magenta
0.38	0.59	0.02	0.00	0.01	0.00	0.00	0.00	Žuta
0.12	0.41	0.33	0.01	0.12	0.00	0.01	0.00	Žuta
0.37	0.61	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.11	0.01	0.56	0.23	0.08	Indigo
0.00	0.00	0.06	0.26	0.31	0.05	0.20	0.11	Tirkizna
0.00	0.00	0.00	0.15	0.01	0.11	0.13	0.61	Magenta
0.36	0.57	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.01	0.37	0.08	0.02	0.49	0.00	0.01	0.00	Tirkizna
0.52	0.46	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.10	0.00	0.06	0.07	0.77	Magenta
